stationNaptan,stationName,stopType,lat,lon,line
940GZZLUBLR,Blackhorse Road Underground Station,NaptanMetroStation,51.586919,-0.04115,victoria
940GZZLUBXN,Brixton Underground Station,NaptanMetroStation,51.462618,-0.114888,victoria
940GZZLUEUS,Euston Underground Station,NaptanMetroStation,51.528186,-0.134239,victoria
940GZZLUFPK,Finsbury Park Underground Station,NaptanMetroStation,51.564158,-0.106825,victoria
940GZZLUGPK,Green Park Underground Station,NaptanMetroStation,51.506947,-0.142787,victoria
940GZZLUHAI,Highbury & Islington Underground Station,NaptanMetroStation,51.54635,-0.103324,victoria
940GZZLUKSX,King's Cross St. Pancras Underground Station,NaptanMetroStation,51.530663,-0.123194,victoria
940GZZLUOXC,Oxford Circus Underground Station,NaptanMetroStation,51.515224,-0.141903,victoria
940GZZLUPCO,Pimlico Underground Station,NaptanMetroStation,51.489097,-0.133761,victoria
940GZZLUSKW,Stockwell Underground Station,NaptanMetroStation,51.472184,-0.122644,victoria
940GZZLUSVS,Seven Sisters Underground Station,NaptanMetroStation,51.58333,-0.072584,victoria
940GZZLUTMH,Tottenham Hale Underground Station,NaptanMetroStation,51.588108,-0.060241,victoria
940GZZLUVIC,Victoria Underground Station,NaptanMetroStation,51.496359,-0.143102,victoria
940GZZLUVXL,Vauxhall Underground Station,NaptanMetroStation,51.485743,-0.124204,victoria
940GZZLUWRR,Warren Street Underground Station,NaptanMetroStation,51.524951,-0.138321,victoria
940GZZLUWWL,Walthamstow Central Underground Station,NaptanMetroStation,51.582965,-0.019885,victoria
