stationNaptan,stationName,stopType,lat,lon,line,wifi,zone,address
910GBRTWOOD,Brentwood Rail Station,NaptanRailStation,51.613612,0.299588,tfl-rail,yes,9,"Kings Road,Brentwood,CM14 4EW"
910GCHDWLHT,Chadwell Heath Rail Station,NaptanRailStation,51.568044,0.12897,tfl-rail,yes,5,"Station Road,Chadwell Heath,RM6 4BU"
910GFRSTGT,Forest Gate Rail Station,NaptanRailStation,51.549437,0.024362,tfl-rail,yes,3,"Woodgrange Road,Forest Gate,Greater London,E7 0NF"
910GGIDEAPK,Gidea Park Rail Station,NaptanRailStation,51.58191,0.205979,tfl-rail,yes,6,"Station Road,Gidea Park,Romford,RM2 6BX"
910GGODMAYS,Goodmayes Rail Station,NaptanRailStation,51.565584,0.110819,tfl-rail,yes,4,"Goodmayes Road,Goodmayes,Ilford,IG3 9UH"
910GHRLDWOD,Harold Wood Rail Station,NaptanRailStation,51.592772,0.233144,tfl-rail,yes,6,"Gubbins Lane,Harold Wood,RM3 0BL"
910GILFORD,Ilford Rail Station,NaptanRailStation,51.559123,0.06969,tfl-rail,yes,4,"Cranbrook Road,Ilford,IG1 4DU"
910GLIVST,London Liverpool Street Rail Station,NaptanRailStation,51.517996,-0.08142,tfl-rail,yes,1,"Liverpool Street Underground Station Central,London Underground Ltd.,Liverpool Street,London,EC2M 7PP"
910GMANRPK,Manor Park Rail Station,NaptanRailStation,51.552482,0.046351,tfl-rail,yes,3+4,"Station Road,Manor Park,Greater London,E12 5EP"
910GMRYLAND,Maryland Rail Station,NaptanRailStation,51.546087,0.005824,tfl-rail,yes,3,"Maryland Point,Leytonstone High Road,Stratford,E15 1SA"
910GROMFORD,Romford Rail Station,NaptanRailStation,51.574835,0.183251,tfl-rail,yes,6,"South Street,Romford,RM1 1SX"
910GSHENFLD,Shenfield Rail Station,NaptanRailStation,51.630884,0.329855,tfl-rail,yes,2/3,"Hutton Road,Shenfield,CM15 8JD"
910GSTFD,Stratford (London) Rail Station,NaptanRailStation,51.5419,-0.003389,tfl-rail,yes,4,"Stratford Station BR Station St,London,E15 1DE"
910GSVNKNGS,Seven Kings Rail Station,NaptanRailStation,51.564032,0.097111,tfl-rail,yes,,"High Road,Seven Kings,Ilford,IG3 8RE"
